Date,Response Time
08/08/2020 06:51:11',0:00:01'
08/08/2020 06:51:16',0:00:01'
08/08/2020 06:51:39',0:00:01'
08/08/2020 06:51:41',0:00:02'
08/08/2020 06:52:59',0:01:06'
08/08/2020 13:34:39',0:00:01'
08/08/2020 13:35:08',0:00:03'
08/08/2020 13:35:22',0:00:04'
08/08/2020 13:35:40',0:00:03'
08/08/2020 13:36:00',0:00:01'
08/08/2020 13:36:18',0:00:15'
08/08/2020 13:36:38',0:00:02'
08/08/2020 13:36:44',0:00:04'
08/08/2020 13:36:58',0:00:00'
08/08/2020 13:37:07',0:00:03'
08/08/2020 13:37:17',0:00:02'
08/08/2020 13:37:37',0:00:02'
08/08/2020 13:37:55',0:00:09'
08/08/2020 13:37:56',0:00:01'
08/08/2020 13:38:15',0:00:01'
08/08/2020 13:38:20',0:00:01'
08/08/2020 13:38:28',0:00:01'
08/08/2020 13:38:34',0:00:03'
08/08/2020 13:38:38',0:00:01'
08/08/2020 13:38:42',0:00:02'
08/08/2020 13:38:52',0:00:03'
08/08/2020 13:38:57',0:00:02'
08/08/2020 13:39:04',0:00:04'
08/08/2020 13:39:07',0:00:01'
08/08/2020 13:39:10',0:00:01'
08/08/2020 13:39:22',0:00:01'
08/08/2020 13:39:26',0:00:02'
08/08/2020 13:39:35',0:00:02'
08/08/2020 13:39:45',0:00:01'
08/08/2020 13:40:03',0:00:15'
08/08/2020 13:40:12',0:00:02'
08/08/2020 13:40:24',0:00:01'
08/08/2020 13:40:39',0:00:02'
08/08/2020 13:40:45',0:00:04'
08/08/2020 13:40:48',0:00:00'
08/08/2020 13:40:53',0:00:01'
08/08/2020 13:41:04',0:00:03'
08/08/2020 13:41:06',0:00:00'
08/08/2020 13:41:09',0:00:01'
08/08/2020 13:41:14',0:00:02'
08/08/2020 13:41:21',0:00:03'
08/08/2020 13:41:31',0:00:03'
08/08/2020 13:41:50',0:00:01'
08/08/2020 13:41:58',0:00:04'
08/08/2020 13:42:01',0:00:00'
08/08/2020 13:42:05',0:00:01'
08/08/2020 13:42:16',0:00:03'
08/08/2020 13:42:24',0:00:03'
08/08/2020 13:42:48',0:00:02'
08/08/2020 13:42:55',0:00:04'
08/08/2020 13:42:57',0:00:00'
08/08/2020 13:43:00',0:00:02'
08/08/2020 13:43:01',0:00:01'
08/08/2020 13:43:08',0:00:04'
08/08/2020 13:43:10',0:00:00'
08/08/2020 13:43:15',0:00:03'
08/08/2020 13:43:21',0:00:02'
08/08/2020 13:43:29',0:00:03'
08/08/2020 13:43:40',0:00:03'
08/08/2020 13:43:56',0:00:02'
08/08/2020 13:44:02',0:00:04'
08/08/2020 13:44:05',0:00:00'
08/08/2020 13:44:09',0:00:01'
08/08/2020 13:44:18',0:00:03'
08/08/2020 13:44:31',0:00:03'
08/08/2020 13:44:51',0:00:02'
08/08/2020 13:44:53',0:00:01'
08/08/2020 13:44:56',0:00:00'
08/08/2020 13:45:00',0:00:01'
08/08/2020 13:45:04',0:00:02'
08/08/2020 13:45:08',0:00:00'
08/08/2020 13:45:13',0:00:02'
08/08/2020 13:45:19',0:00:03'
08/08/2020 13:45:26',0:00:02'
08/08/2020 13:45:51',0:00:02'
08/08/2020 13:45:58',0:00:04'
08/08/2020 13:46:02',0:00:01'
08/08/2020 13:46:41',0:00:03'
08/08/2020 13:46:54',0:00:03'
08/08/2020 13:47:21',0:00:02'
08/08/2020 13:47:28',0:00:04'
08/08/2020 13:47:33',0:00:00'
08/08/2020 13:48:57',0:00:03'
08/08/2020 13:49:00',0:00:03'
08/08/2020 13:49:29',0:00:02'
08/08/2020 13:49:35',0:00:04'
08/08/2020 13:49:38',0:00:00'
08/08/2020 13:49:48',0:00:01'
08/08/2020 13:49:55',0:00:03'
08/08/2020 13:50:03',0:00:03'
08/08/2020 13:50:36',0:00:02'
08/08/2020 13:50:43',0:00:04'
08/08/2020 13:50:50',0:00:00'
08/08/2020 13:51:14',0:00:02'
08/08/2020 13:52:07',0:00:02'
08/08/2020 13:52:16',0:00:03'
08/08/2020 13:52:53',0:00:02'
08/08/2020 13:52:58',0:00:04'
08/08/2020 13:53:00',0:00:00'
08/08/2020 18:56:13',0:00:05'
08/08/2020 18:56:17',0:00:02'
08/08/2020 18:56:19',0:00:01'
08/08/2020 18:56:25',0:00:02'
08/08/2020 18:56:48',0:00:02'
08/08/2020 18:56:54',0:00:01'
08/08/2020 18:57:46',0:00:30'
08/08/2020 18:57:56',0:00:02'
08/08/2020 18:58:31',0:00:01'
08/08/2020 18:58:38',0:00:01'
08/08/2020 18:58:42',0:00:01'
08/08/2020 18:58:48',0:00:01'
08/08/2020 18:58:59',0:00:02'
08/08/2020 18:59:17',0:00:01'
08/08/2020 18:59:34',0:00:03'
08/08/2020 18:59:49',0:00:03'
08/08/2020 19:00:10',0:00:02'
08/08/2020 19:00:30',0:00:09'
08/08/2020 19:00:34',0:00:01'
08/08/2020 19:00:52',0:00:01'
08/08/2020 19:00:55',0:00:00'
09/08/2020 08:17:35',0:00:03'
09/08/2020 08:18:31',0:00:02'
09/08/2020 08:18:49',0:00:15'
09/08/2020 08:19:09',0:00:01'
09/08/2020 08:19:25',0:00:14'
09/08/2020 08:20:05',0:00:04'
09/08/2020 08:20:08',0:00:03'
09/08/2020 08:20:37',0:00:02'
09/08/2020 08:20:55',0:00:15'
09/08/2020 08:21:05',0:00:01'
09/08/2020 08:21:20',0:00:02'
09/08/2020 08:21:27',0:00:02'
09/08/2020 08:21:32',0:00:04'
09/08/2020 08:21:33',0:00:00'
09/08/2020 08:21:38',0:00:01'
09/08/2020 08:21:46',0:00:01'
09/08/2020 08:21:58',0:00:03'
09/08/2020 08:23:39',0:00:03'
09/08/2020 08:23:51',0:00:03'
09/08/2020 08:27:34',0:00:02'
09/08/2020 08:27:50',0:00:14'
09/08/2020 08:28:35',0:00:02'
09/08/2020 08:28:40',0:00:04'
09/08/2020 08:28:46',0:00:00'
09/08/2020 08:28:50',0:00:01'
09/08/2020 08:29:23',0:00:03'
09/08/2020 08:29:29',0:00:04'
09/08/2020 08:30:42',0:00:02'
09/08/2020 08:30:59',0:00:14'
09/08/2020 08:34:20',0:00:02'
09/08/2020 08:34:26',0:00:05'
09/08/2020 08:34:32',0:00:00'
09/08/2020 08:34:36',0:00:01'
09/08/2020 08:35:01',0:00:03'
09/08/2020 08:35:11',0:00:03'
09/08/2020 08:36:06',0:00:02'
09/08/2020 08:36:24',0:00:14'
09/08/2020 08:38:16',0:00:01'
09/08/2020 08:38:22',0:00:03'
09/08/2020 08:38:25',0:00:00'
09/08/2020 08:38:28',0:00:01'
09/08/2020 08:38:43',0:00:03'
09/08/2020 08:39:02',0:00:02'
09/08/2020 08:45:17',0:00:02'
09/08/2020 08:45:33',0:00:14'
09/08/2020 08:48:35',0:00:02'
09/08/2020 08:48:43',0:00:04'
09/08/2020 08:48:45',0:00:00'
09/08/2020 08:48:49',0:00:01'
09/08/2020 08:49:08',0:00:03'
09/08/2020 08:49:13',0:00:03'
09/08/2020 08:50:07',0:00:01'
09/08/2020 08:50:13',0:00:04'
09/08/2020 08:50:15',0:00:00'
09/08/2020 08:50:32',0:00:03'
09/08/2020 08:50:39',0:00:02'
09/08/2020 08:52:53',0:00:02'
09/08/2020 08:52:58',0:00:03'
09/08/2020 08:53:00',0:00:00'
09/08/2020 08:53:07',0:00:01'
09/08/2020 08:53:22',0:00:03'
09/08/2020 08:53:28',0:00:03'
09/08/2020 08:54:26',0:00:02'
09/08/2020 08:54:34',0:00:04'
09/08/2020 08:54:37',0:00:00'
09/08/2020 08:54:40',0:00:01'
09/08/2020 09:06:14',0:00:03'
09/08/2020 09:06:17',0:00:02'
09/08/2020 09:12:06',0:00:02'
09/08/2020 09:12:11',0:00:04'
09/08/2020 09:12:13',0:00:00'
09/08/2020 09:12:17',0:00:01'
09/08/2020 09:12:44',0:00:03'
09/08/2020 09:12:50',0:00:03'
09/08/2020 09:17:56',0:00:02'
09/08/2020 09:18:02',0:00:04'
09/08/2020 09:18:04',0:00:00'
09/08/2020 09:18:07',0:00:01'
09/08/2020 09:18:36',0:00:03'
09/08/2020 09:18:39',0:00:03'
09/08/2020 09:28:20',0:00:02'
09/08/2020 09:28:31',0:00:04'
09/08/2020 09:28:33',0:00:00'
09/08/2020 09:28:36',0:00:01'
09/08/2020 09:28:57',0:00:03'
09/08/2020 09:29:00',0:00:03'
09/08/2020 11:04:33',0:00:02'
09/08/2020 11:05:44',0:00:03'
09/08/2020 11:06:16',0:00:02'
09/08/2020 11:07:26',0:00:02'
09/08/2020 11:07:53',0:00:15'
09/08/2020 11:09:28',0:00:02'
09/08/2020 11:09:52',0:00:15'
09/08/2020 11:10:53',0:00:01'
09/08/2020 11:11:01',0:00:04'
09/08/2020 11:11:42',0:00:00'
09/08/2020 13:48:31',0:00:03'
09/08/2020 13:48:49',0:00:04'
09/08/2020 13:50:04',0:00:02'
09/08/2020 13:50:26',0:00:14'
09/08/2020 13:51:04',0:00:02'
09/08/2020 13:51:22',0:00:14'
09/08/2020 13:51:52',0:00:02'
09/08/2020 13:52:06',0:00:04'
09/08/2020 13:52:38',0:00:00'
09/08/2020 13:58:05',0:00:02'
09/08/2020 13:58:31',0:00:01'
09/08/2020 13:58:48',0:00:14'
09/08/2020 13:59:29',0:00:02'
09/08/2020 13:59:35',0:00:04'
09/08/2020 13:59:40',0:00:00'
09/08/2020 13:59:51',0:00:03'
09/08/2020 13:59:54',0:00:03'
09/08/2020 14:00:17',0:00:01'
09/08/2020 14:00:37',0:00:14'
09/08/2020 14:01:10',0:00:02'
09/08/2020 14:01:16',0:00:04'
09/08/2020 14:01:21',0:00:00'
09/08/2020 14:01:25',0:00:02'
09/08/2020 14:01:43',0:00:02'
09/08/2020 14:01:50',0:00:02'
09/08/2020 14:01:54',0:00:01'
09/08/2020 14:01:54',0:00:00'
09/08/2020 14:01:55',0:00:00'
09/08/2020 14:02:02',0:00:01'
09/08/2020 14:02:03',0:00:00'
09/08/2020 14:02:05',0:00:01'
09/08/2020 14:02:14',0:00:01'
09/08/2020 14:02:30',0:00:06'
09/08/2020 14:02:39',0:00:01'
09/08/2020 14:02:55',0:00:01'
09/08/2020 14:03:01',0:00:04'
09/08/2020 14:03:03',0:00:00'
09/08/2020 14:03:11',0:00:02'
09/08/2020 14:03:30',0:00:03'
09/08/2020 14:03:47',0:00:01'
09/08/2020 14:03:56',0:00:01'
09/08/2020 14:04:13',0:00:14'
09/08/2020 14:04:35',0:00:02'
09/08/2020 14:04:41',0:00:04'
09/08/2020 14:04:52',0:00:01'
09/08/2020 14:04:57',0:00:01'
09/08/2020 14:05:09',0:00:03'
09/08/2020 14:05:12',0:00:03'
09/08/2020 14:05:40',0:00:02'
09/08/2020 14:05:45',0:00:04'
09/08/2020 14:05:49',0:00:00'
09/08/2020 14:06:02',0:00:03'
09/08/2020 14:06:24',0:00:03'
09/08/2020 14:06:50',0:00:02'
09/08/2020 14:06:55',0:00:04'
09/08/2020 14:06:59',0:00:00'
09/08/2020 14:17:45',0:00:03'
09/08/2020 14:17:51',0:00:03'
09/08/2020 14:17:57',0:00:01'
09/08/2020 14:18:13',0:00:01'
09/08/2020 14:18:31',0:00:09'
09/08/2020 14:18:41',0:00:01'
09/08/2020 14:18:50',0:00:02'
09/08/2020 14:18:56',0:00:04'
09/08/2020 14:19:02',0:00:00'
09/08/2020 14:19:07',0:00:01'
09/08/2020 14:19:47',0:00:03'
09/08/2020 14:19:54',0:00:03'
09/08/2020 14:20:12',0:00:01'
09/08/2020 14:20:17',0:00:02'
09/08/2020 14:20:26',0:00:04'
09/08/2020 14:20:31',0:00:00'
09/08/2020 14:20:36',0:00:01'
09/08/2020 14:20:41',0:00:03'
09/08/2020 14:21:04',0:00:03'
09/08/2020 14:21:23',0:00:02'
09/08/2020 14:21:31',0:00:04'
09/08/2020 14:21:43',0:00:01'
09/08/2020 14:22:06',0:00:03'
09/08/2020 14:22:35',0:00:02'
09/08/2020 14:22:56',0:00:08'
09/08/2020 14:23:24',0:00:02'
09/08/2020 14:23:44',0:00:04'
09/08/2020 14:23:52',0:00:00'
09/08/2020 14:24:05',0:00:03'
09/08/2020 14:24:09',0:00:03'
09/08/2020 14:24:27',0:00:01'
09/08/2020 14:24:31',0:00:02'
09/08/2020 14:24:50',0:00:11'
09/08/2020 14:25:01',0:00:02'
09/08/2020 14:25:07',0:00:04'
09/08/2020 14:25:16',0:00:00'
09/08/2020 14:25:31',0:00:03'
09/08/2020 14:25:39',0:00:01'
09/08/2020 14:25:40',0:00:00'
09/08/2020 14:25:57',0:00:02'
09/08/2020 14:26:13',0:00:14'
09/08/2020 14:26:30',0:00:02'
09/08/2020 14:27:04',0:00:04'
09/08/2020 14:28:43',0:00:00'
09/08/2020 14:28:50',0:00:03'
09/08/2020 14:28:53',0:00:02'
09/08/2020 14:29:12',0:00:02'
09/08/2020 14:29:15',0:00:02'
09/08/2020 14:29:41',0:00:04'
09/08/2020 14:29:44',0:00:01'
09/08/2020 14:29:48',0:00:01'
09/08/2020 14:30:05',0:00:15'
09/08/2020 14:30:09',0:00:01'
09/08/2020 14:30:19',0:00:01'
09/08/2020 14:30:41',0:00:04'
09/08/2020 14:30:45',0:00:00'
09/08/2020 14:30:51',0:00:03'
09/08/2020 14:31:03',0:00:04'
09/08/2020 14:31:23',0:00:02'
09/08/2020 14:31:39',0:00:14'
09/08/2020 14:31:46',0:00:01'
09/08/2020 14:31:55',0:00:01'
09/08/2020 14:32:02',0:00:04'
09/08/2020 14:32:11',0:00:00'
09/08/2020 14:32:14',0:00:01'
09/08/2020 14:32:24',0:00:03'
09/08/2020 14:32:28',0:00:03'
09/08/2020 14:32:41',0:00:02'
09/08/2020 14:32:57',0:00:02'
09/08/2020 14:33:04',0:00:01'
09/08/2020 14:33:07',0:00:02'
09/08/2020 14:33:24',0:00:10'
09/08/2020 14:34:11',0:00:01'
09/08/2020 14:34:49',0:00:00'
09/08/2020 14:34:51',0:00:00'
09/08/2020 14:34:55',0:00:01'
09/08/2020 14:35:01',0:00:03'
09/08/2020 14:35:04',0:00:01'
09/08/2020 19:32:02',0:00:03'
09/08/2020 19:32:12',0:00:02'
09/08/2020 19:32:34',0:00:02'
09/08/2020 19:32:54',0:00:02'
09/08/2020 19:32:59',0:00:02'
09/08/2020 19:33:09',0:00:03'
09/08/2020 19:33:15',0:00:00'
09/08/2020 19:33:20',0:00:02'
09/08/2020 19:34:42',0:00:01'
09/08/2020 19:36:34',0:00:01'
09/08/2020 19:36:41',0:00:02'
10/08/2020 12:10:43',0:00:03'
10/08/2020 12:10:57',0:00:02'
10/08/2020 12:11:12',0:00:01'
10/08/2020 12:11:32',0:00:08'
10/08/2020 12:11:48',0:00:02'
10/08/2020 12:11:54',0:00:03'
10/08/2020 12:11:58',0:00:00'
10/08/2020 12:12:53',0:00:01'
10/08/2020 12:13:03',0:00:03'
10/08/2020 12:13:06',0:00:01'
10/08/2020 12:13:09',0:00:01'
10/08/2020 12:13:29',0:00:02'
10/08/2020 12:13:46',0:00:11'
10/08/2020 12:13:49',0:00:01'
10/08/2020 12:13:58',0:00:02'
10/08/2020 12:14:03',0:00:02'
10/08/2020 12:14:08',0:00:04'
10/08/2020 12:14:11',0:00:00'
10/08/2020 13:23:58',0:00:03'
10/08/2020 13:24:01',0:00:01'
10/08/2020 13:24:14',0:00:02'
10/08/2020 13:24:32',0:00:00'
10/08/2020 14:07:17',0:00:03'
10/08/2020 14:07:20',0:00:03'
10/08/2020 14:07:22',0:00:01'
10/08/2020 14:07:35',0:00:01'
10/08/2020 14:53:10',0:00:02'
10/08/2020 14:53:38',0:00:14'
10/08/2020 14:54:17',0:00:02'
10/08/2020 14:54:22',0:00:03'
10/08/2020 14:54:25',0:00:00'
10/08/2020 21:10:23',0:00:02'
11/08/2020 07:42:53',0:00:04'
11/08/2020 07:43:21',0:00:01'
11/08/2020 07:43:38',0:00:14'
11/08/2020 08:12:44',0:00:01'
11/08/2020 08:12:50',0:00:04'
11/08/2020 08:21:09',0:00:00'
11/08/2020 08:30:28',0:00:03'
11/08/2020 08:30:34',0:00:03'
11/08/2020 08:31:02',0:00:01'
11/08/2020 08:31:21',0:00:14'
11/08/2020 08:32:57',0:00:01'
11/08/2020 08:33:03',0:00:03'
11/08/2020 08:36:57',0:00:00'
11/08/2020 08:38:19',0:00:01'
11/08/2020 08:38:24',0:00:02'
11/08/2020 14:09:49',0:00:03'
11/08/2020 14:10:39',0:00:06'
11/08/2020 14:15:29',0:00:01'
11/08/2020 14:15:45',0:00:14'
11/08/2020 14:16:40',0:00:01'
11/08/2020 14:17:03',0:00:14'
11/08/2020 14:17:15',0:00:01'
11/08/2020 14:18:43',0:00:04'
11/08/2020 14:19:24',0:00:00'
11/08/2020 16:27:40',0:00:01'
11/08/2020 16:27:49',0:00:02'
11/08/2020 16:27:56',0:00:03'
11/08/2020 16:28:00',0:00:01'
11/08/2020 16:28:04',0:00:01'
11/08/2020 16:28:19',0:00:03'
11/08/2020 16:29:07',0:00:02'
11/08/2020 16:36:30',0:00:02'
11/08/2020 16:36:38',0:00:04'
11/08/2020 16:36:45',0:00:00'
11/08/2020 16:36:49',0:00:01'
11/08/2020 16:37:06',0:00:03'
11/08/2020 16:37:09',0:00:02'
11/08/2020 16:38:01',0:00:02'
11/08/2020 16:38:17',0:00:10'
11/08/2020 16:38:22',0:00:02'
11/08/2020 16:39:09',0:00:02'
11/08/2020 16:39:15',0:00:04'
11/08/2020 16:39:16',0:00:00'
11/08/2020 16:39:21',0:00:01'
11/08/2020 16:40:02',0:00:03'
11/08/2020 16:40:05',0:00:02'
11/08/2020 16:41:15',0:00:02'
11/08/2020 16:41:31',0:00:11'
11/08/2020 16:42:13',0:00:02'
11/08/2020 16:42:18',0:00:04'
11/08/2020 16:42:19',0:00:00'
11/08/2020 16:42:25',0:00:01'
11/08/2020 16:44:47',0:00:03'
11/08/2020 16:46:51',0:00:02'
11/08/2020 16:47:07',0:00:11'
11/08/2020 16:48:50',0:00:02'
11/08/2020 16:48:57',0:00:04'
11/08/2020 16:48:59',0:00:00'
11/08/2020 16:49:03',0:00:01'
11/08/2020 16:50:08',0:00:03'
11/08/2020 16:50:10',0:00:01'
11/08/2020 16:50:15',0:00:03'
11/08/2020 16:50:50',0:00:00'
11/08/2020 16:50:55',0:00:01'
11/08/2020 16:51:47',0:00:02'
11/08/2020 16:51:53',0:00:04'
11/08/2020 16:51:54',0:00:00'
11/08/2020 16:52:06',0:00:02'
11/08/2020 16:52:32',0:00:03'
11/08/2020 16:52:38',0:00:02'
11/08/2020 16:53:20',0:00:02'
11/08/2020 16:53:26',0:00:04'
11/08/2020 16:53:27',0:00:00'
11/08/2020 16:53:36',0:00:01'
11/08/2020 16:53:48',0:00:03'
11/08/2020 16:53:52',0:00:02'
11/08/2020 16:55:51',0:00:02'
11/08/2020 16:55:56',0:00:04'
11/08/2020 16:55:57',0:00:00'
11/08/2020 16:56:09',0:00:02'
11/08/2020 16:56:21',0:00:01'
11/08/2020 19:23:26',0:00:03'
11/08/2020 19:23:32',0:00:04'
11/08/2020 19:24:35',0:00:02'
11/08/2020 19:24:51',0:00:15'
11/08/2020 19:25:00',0:00:01'
11/08/2020 19:26:07',0:00:02'
11/08/2020 19:26:12',0:00:04'
11/08/2020 20:19:49',0:00:00'
11/08/2020 20:19:54',0:00:03'
11/08/2020 20:20:00',0:00:04'
11/08/2020 20:20:41',0:00:02'
11/08/2020 20:20:58',0:00:14'
11/08/2020 20:21:32',0:00:02'
11/08/2020 20:21:41',0:00:04'
11/08/2020 20:21:44',0:00:00'
11/08/2020 20:21:53',0:00:03'
11/08/2020 20:22:03',0:00:02'
11/08/2020 20:22:51',0:00:02'
11/08/2020 20:23:11',0:00:14'
11/08/2020 20:23:50',0:00:01'
11/08/2020 20:23:57',0:00:04'
11/08/2020 20:24:00',0:00:00'
11/08/2020 20:24:05',0:00:01'
11/08/2020 20:24:14',0:00:02'
11/08/2020 20:26:03',0:00:05'
11/08/2020 20:26:58',0:00:02'
11/08/2020 20:28:37',0:00:14'
12/08/2020 06:35:09',0:00:02'
12/08/2020 06:35:15',0:00:04'
12/08/2020 06:35:18',0:00:00'
12/08/2020 06:35:21',0:00:01'
12/08/2020 06:35:30',0:00:03'
12/08/2020 06:35:47',0:00:03'
12/08/2020 06:36:42',0:00:01'
12/08/2020 06:37:02',0:00:15'
12/08/2020 06:37:33',0:00:02'
12/08/2020 06:37:43',0:00:04'
12/08/2020 06:37:55',0:00:00'
12/08/2020 06:38:01',0:00:03'
12/08/2020 06:38:14',0:00:02'
12/08/2020 06:38:46',0:00:01'
12/08/2020 06:38:52',0:00:04'
12/08/2020 06:38:55',0:00:00'
12/08/2020 06:38:58',0:00:01'
12/08/2020 07:03:26',0:00:01'
12/08/2020 07:08:44',0:00:03'
12/08/2020 07:08:52',0:00:05'
12/08/2020 07:09:35',0:00:01'
12/08/2020 07:09:43',0:00:04'
12/08/2020 07:09:45',0:00:00'
12/08/2020 07:35:43',0:00:03'
12/08/2020 07:36:49',0:00:05'
12/08/2020 07:39:05',0:00:00'
12/08/2020 07:40:12',0:00:02'
12/08/2020 07:40:32',0:00:01'
12/08/2020 07:40:42',0:00:02'
12/08/2020 07:41:04',0:00:03'
12/08/2020 07:44:08',0:00:02'
12/08/2020 08:46:41',0:00:01'
12/08/2020 08:47:04',0:00:18'
12/08/2020 08:48:57',0:00:01'
12/08/2020 08:49:08',0:00:04'
12/08/2020 08:49:26',0:00:00'
12/08/2020 09:08:44',0:00:01'
12/08/2020 09:33:11',0:00:02'
12/08/2020 09:39:19',0:00:03'
